github-gk-aks/fifthgithubrepo;String A_TOKEN is replaced with D_TOKEN in file .github/workflows/github-rest-api1234.yml
github-gk-aks/firstgithubrepo;String A_TOKEN is replaced with B_TOKEN in file .github/workflows/github-rest-api1.yaml
github-gk-aks/firstgithubrepo;String TINGA is replaced with B_TOKEN in file .github/workflows/github-rest-api12.yml
github-gk-aks/firstgithubrepo;String A_TOKEN is replaced with C_TOKEN in file .github/workflows/github-rest-api123.yml
github-gk-aks/firstgithubrepo;String A_TOKEN is replaced with D_TOKEN in file .github/workflows/github-rest-api1234.yaml
github-gk-aks/fourthgithubrepo;String A_TOKEN is replaced with C_TOKEN in file .github/workflows/github-rest-api1.yml
github-gk-aks/fourthgithubrepo;String A_TOKEN is replaced with C_TOKEN in file .github/workflows/github-rest-api1.yml
github-gk-aks/secondgithubrepo; File .github/workflows/github-rest-api1.yml not found in repository
github-gk-aks/secondgithubrepo;String A_TOKEN is replaced with B_TOKEN in file .github/workflows/github-rest-api12.yml
github-gk-aks/secondgithubrepo;String A_TOKEN is replaced with C_TOKEN in file .github/workflows/github-rest-api123.yml
github-gk-aks/thirdgithubrepo;String A_TOKEN is replaced with B_TOKEN in file .github/workflows/github-rest-api1234.yml
github-gk-aks/thirdgithubrepo;String A_TOKEN is replaced with B_TOKEN in file .github/workflows/github-rest-api123.yml
